,date,close,open,high,low,volume
0,2018-10-25,206330.0,204667.0,206606.0,203381.0,376014.0
1,2018-10-26,202715.0,206657.0,206657.0,200886.0,449197.0
2,2018-10-29,199605.0,202668.0,204576.0,199377.0,427304.0
3,2018-10-30,201469.0,198595.0,202884.0,198595.0,441585.0
4,2018-10-31,202969.0,202284.0,203050.0,200663.0,373027.0
5,2018-11-01,202446.0,203511.0,205422.0,202343.0,343813.0
6,2018-11-02,209600.0,204661.0,209663.0,204494.0,371978.0
7,2018-11-05,207692.0,207981.0,208049.0,205267.0,361302.0
8,2018-11-06,208962.0,208581.0,209261.0,206859.0,315816.0
9,2018-11-07,207869.0,209032.0,210763.0,207248.0,485225.0
10,2018-11-08,209263.0,210997.0,212088.0,209236.0,328034.0
11,2018-11-09,208609.0,209389.0,210192.0,208247.0,298072.0
12,2018-11-12,208044.0,206592.0,208724.0,206552.0,295528.0
13,2018-11-13,207123.0,204762.0,207203.0,203205.0,383421.0
14,2018-11-14,206805.0,207141.0,207512.0,206086.0,339046.0
15,2018-11-15,208806.0,206147.0,208861.0,205873.0,351042.0
16,2018-11-16,209240.0,209794.0,210311.0,208654.0,301604.0
17,2018-11-19,210056.0,209613.0,211139.0,208937.0,273198.0
18,2018-11-20,208258.0,207467.0,208954.0,207467.0,281685.0
19,2018-11-21,207655.0,205707.0,207749.0,204976.0,267903.0
20,2018-11-22,206995.0,207901.0,208175.0,206620.0,242498.0
21,2018-11-23,205748.0,207326.0,207591.0,204796.0,227202.0
22,2018-11-26,208302.0,206017.0,208396.0,206017.0,237710.0
23,2018-11-27,209942.0,209175.0,210229.0,207949.0,239211.0
24,2018-11-28,210822.0,210413.0,210865.0,209432.0,300075.0
25,2018-11-29,211410.0,213395.0,213674.0,210890.0,307230.0
26,2018-11-30,209686.0,211683.0,212233.0,209383.0,427354.0
27,2018-12-03,213193.0,212778.0,213664.0,211360.0,436588.0
28,2018-12-04,211435.0,212567.0,212894.0,210545.0,507517.0
